#Beijing
r1---sn-2x3een7e.gvt1.com	203.208.42.147
r2---sn-2x3een7e.gvt1.com	203.208.42.148
r3---sn-2x3een7e.gvt1.com	203.208.42.149
r4---sn-2x3een7e.gvt1.com	203.208.42.150
r5---sn-2x3een7e.gvt1.com	203.208.42.151
r6---sn-2x3een7e.gvt1.com	203.208.42.152
r7---sn-2x3een7e.gvt1.com	203.208.42.153
r8---sn-2x3een7e.gvt1.com	203.208.42.154
r9---sn-2x3een7e.gvt1.com	203.208.42.155
r10---sn-2x3een7e.gvt1.com	203.208.42.156
r11---sn-2x3een7e.gvt1.com	203.208.42.157
r12---sn-2x3een7e.gvt1.com	203.208.42.158
r13---sn-2x3een7e.gvt1.com	203.208.42.159
r14---sn-2x3een7e.gvt1.com	203.208.42.160
r15---sn-2x3een7e.gvt1.com	203.208.42.161
r16---sn-2x3een7e.gvt1.com	203.208.42.162
r17---sn-2x3een7e.gvt1.com	203.208.42.163
r18---sn-2x3een7e.gvt1.com	203.208.42.164

r1---sn-2x3een7l.gvt1.com	203.208.42.19
r2---sn-2x3een7l.gvt1.com	203.208.42.20
r3---sn-2x3een7l.gvt1.com	203.208.42.21
r4---sn-2x3een7l.gvt1.com	203.208.42.22
r5---sn-2x3een7l.gvt1.com	203.208.42.23
r6---sn-2x3een7l.gvt1.com	203.208.42.24
r7---sn-2x3een7l.gvt1.com	203.208.42.25
r8---sn-2x3een7l.gvt1.com	203.208.42.26
r9---sn-2x3een7l.gvt1.com	203.208.42.27
r10---sn-2x3een7l.gvt1.com	203.208.42.28
r11---sn-2x3een7l.gvt1.com	203.208.42.29
r12---sn-2x3een7l.gvt1.com	203.208.42.30
r13---sn-2x3een7l.gvt1.com	203.208.42.31
r14---sn-2x3een7l.gvt1.com	203.208.42.32
r15---sn-2x3een7l.gvt1.com	203.208.42.33
r16---sn-2x3een7l.gvt1.com	203.208.42.34
r17---sn-2x3een7l.gvt1.com	203.208.42.35
r18---sn-2x3een7l.gvt1.com	203.208.42.36

r1---sn-2x3een7s.gvt1.com	203.208.42.208
r2---sn-2x3een7s.gvt1.com	203.208.42.209
r3---sn-2x3een7s.gvt1.com	203.208.42.210
r4---sn-2x3een7s.gvt1.com	203.208.42.211
r5---sn-2x3een7s.gvt1.com	203.208.42.212
r6---sn-2x3een7s.gvt1.com	203.208.42.213
r7---sn-2x3een7s.gvt1.com	203.208.42.214
r8---sn-2x3een7s.gvt1.com	203.208.42.215
